uf,sgl_uf,nm_uf,cd_municipio_compl,nm_municipio,cd_municipio_base
53,DF,Distrito Federal              ,5300108,Brasília                                          ,530010
11,RO,Rondônia                      ,1101484,São Felipe D Oeste                                ,110148
11,RO,Rondônia                      ,1100940,Cujubim                                           ,110094
11,RO,Rondônia                      ,1100098,Espigão D Oeste                                   ,110009
11,RO,Rondônia                      ,1101005,Governador Jorge Teixeira                         ,110100
11,RO,Rondônia                      ,1100106,Guajará-Mirim                                     ,110010
11,RO,Rondônia                      ,1101104,Itapuã do Oeste                                   ,110110
11,RO,Rondônia                      ,1100114,Jaru                                              ,110011
11,RO,Rondônia                      ,1100122,Ji-Paraná                                         ,110012
11,RO,Rondônia                      ,1100130,Machadinho D Oeste                                ,110013
11,RO,Rondônia                      ,1101203,Ministro Andreazza                                ,110120
11,RO,Rondônia                      ,1101302,Mirante da Serra                                  ,110130
11,RO,Rondônia                      ,1101401,Monte Negro                                       ,110140
11,RO,Rondônia                      ,1100148,Nova Brasilândia D Oeste                          ,110014
11,RO,Rondônia                      ,1100338,Nova Mamoré                                       ,110033
11,RO,Rondônia                      ,1101435,Nova União                                        ,110143
11,RO,Rondônia                      ,1100502,Novo Horizonte do Oeste                           ,110050
11,RO,Rondônia                      ,1100155,Ouro Preto do Oeste                               ,110015
11,RO,Rondônia                      ,1101450,Parecis                                           ,110145
11,RO,Rondônia                      ,1100189,Pimenta Bueno                                     ,110018
11,RO,Rondônia                      ,1101468,Pimenteiras do Oeste                              ,110146
11,RO,Rondônia                      ,1100205,Porto Velho                                       ,110020
11,RO,Rondônia                      ,1100254,Presidente Médici                                 ,110025
11,RO,Rondônia                      ,1101476,Primavera de Rondônia                             ,110147
11,RO,Rondônia                      ,1100262,Rio Crespo                                        ,110026
11,RO,Rondônia                      ,1100288,Rolim de Moura                                    ,110028
11,RO,Rondônia                      ,1100296,Santa Luzia D Oeste                               ,110029
11,RO,Rondônia                      ,1101492,São Francisco do Guaporé                          ,110149
11,RO,Rondônia                      ,1100320,São Miguel do Guaporé                             ,110032
11,RO,Rondônia                      ,1101500,Seringueiras                                      ,110150
11,RO,Rondônia                      ,1101559,Teixeirópolis                                     ,110155
11,RO,Rondônia                      ,1101609,Theobroma                                         ,110160
11,RO,Rondônia                      ,1101708,Urupá                                             ,110170
11,RO,Rondônia                      ,1101757,Vale do Anari                                     ,110175
11,RO,Rondônia                      ,1101807,Vale do Paraíso                                   ,110180
11,RO,Rondônia                      ,1100304,Vilhena                                           ,110030
12,AC,Acre                          ,1200013,Acrelândia                                        ,120001
12,AC,Acre                          ,1200054,Assis Brasil                                      ,120005
12,AC,Acre                          ,1200104,Brasiléia                                         ,120010
12,AC,Acre                          ,1200138,Bujari                                            ,120013
12,AC,Acre                          ,1200179,Capixaba                                          ,120017
12,AC,Acre                          ,1200203,Cruzeiro do Sul                                   ,120020
12,AC,Acre                          ,1200252,Epitaciolândia                                    ,120025
12,AC,Acre                          ,1200302,Feijó                                             ,120030
12,AC,Acre                          ,1200328,Jordão                                            ,120032
12,AC,Acre                          ,1200336,Mâncio Lima                                       ,120033
12,AC,Acre                          ,1200344,Manoel Urbano                                     ,120034
12,AC,Acre                          ,1200351,Marechal Thaumaturgo                              ,120035
12,AC,Acre                          ,1200385,Plácido de Castro                                 ,120038
12,AC,Acre                          ,1200807,Porto Acre                                        ,120080
12,AC,Acre                          ,1200393,Porto Walter                                      ,120039
